v,f0,f1,f2,f3,f4,ulx,uly,llx,lly,t1x,t1y,t2x,t2y,t3x,t3y,t4x,t4y,mnix,mniy,mnmx,mnmy
AA,117.944,685.407,1197.05,2191.48,3336.96,13932,18276,6539,-30434,-23064,-4335,-35728,-255,-46156,6775,-57700,13213,-1210,-12864,-42867,-8388
IH,112.828,418.372,985.526,2487.43,3011.1,20501,20067,5382,-22754,-19155,5498,-30598,10135,-41026,14935,-55410,17009,-1726,-6362,-44347,-3640
AO,93.0954,590.657,972.832,2020.6,2789.85,19325,19404,13488,-16881,-27701,85,-36820,10226,-46626,17044,-60265,18089,-646,-11293,-42029,-7787
EH,102.207,614.993,1477.48,2312.54,3231.13,14055,18779,8355,-31634,-13440,-8626,-25020,-878,-35575,6039,-48541,7436,953,-16019,-40606,-10839
AO,95.1051,560.905,1071.83,1815.31,2777.59,19559,21403,13222,-17716,-23812,3805,-32471,12748,-42574,18192,-56299,15808,191,-11150,-41519,-7347
IH,100.845,201.074,1246.36,2390.22,3494.73,13907,16145,10587,-16234,-19836,4807,-29710,11789,-40145,17257,-55107,14865,-1886,-7813,-44639,-4746
AO,98.4806,462.469,1049.47,1609.02,2758.95,18268,17673,11457,-17553,-27815,7529,-36703,18185,-47490,22356,-61518,19551,-1201,-8351,-43750,-5384
IY,95.2271,422.215,1999.82,2519.59,3445.13,15170,18924,9971,-21601,-11148,-88,-20683,9798,-30968,19430,-48167,21789,202,-7609,-42369,-4745
UX,100.368,424.22,793.906,2497.09,3076.81,18437,17175,12875,-16914,-20244,-7608,-32479,454,-41461,12083,-58325,21395,572,-7855,-41526,-5235
AE,94.7856,686.494,1615.2,2384.06,4374.25,13627,17635,10281,-28412,-11461,-11054,-24315,-5425,-35038,3794,-46353,10780,1887,-17614,-39631,-12229
IH,99.8747,484.916,1621.28,2419.87,3703.03,14552,18956,8288,-21557,-10500,966,-23788,4863,-35591,12118,-50508,14070,-505,-7241,-43115,-4656
IY,97.7514,285.967,2117.6,2716.25,3330.95,15211,18168,7065,-23536,-13595,3763,-23912,14461,-33131,22270,-49764,22917,-11,-7061,-41952,-4839
IY,101.852,274.308,2186.21,2705.45,3473.74,14210,18977,9745,-24998,-7123,-1845,-17825,7786,-28429,20082,-45783,24482,2384,-8659,-38994,-6253
EH,99.8031,521.715,1566.12,2402.72,4125.33,13638,16928,8389,-24315,-17314,-2487,-29298,5920,-40683,11514,-54356,13735,599,-8888,-41864,-5699
